ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45104 9 45358 13 45613 14 45868 15 46124 15 46380 15 46636 14 46892 13 47149 11 47407 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50026 2 50279 9 50533 12 50788 14 51043 15 51298 16 51553 17 51809 17 52064 18 52320 18 52576 18 52832 17 53088 16 53345 15 53601 14 53858 11 54117 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10893 5 11147 8 11401 11 11656 12 11911 13 12166 14 12422 14 12677 15 12933 14 13189 14 13445 13 13701 12 13957 11 14213 10 14470 7
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31133 4 31388 6 31631 8 31644 7 31884 13 31899 8 32139 24 32393 26 32648 27 32904 26 33159 20 33182 3 33415 20 33671 19 33927 19 34182 19 34439 17 34695 15 34951 14 35208 12 35465 9 35724 3
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50842 5 51096 8 51351 9 51605 12 51860 13 52116 12 52371 13 52626 13 52882 13 53137 13 53393 12 53648 12 53904 11 54160 10 54417 8 54673 7 54931 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38564 5 38819 7 39074 9 39328 11 39582 13 39838 13 40093 14 40349 14 40605 13 40861 13 41118 11 41374 11 41630 10 41887 8 42144 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,47749 4 48268 4 48787 6 49306 6 49825 8 50344 8 50863 8 51382 8 51402 3 51901 10 51919 7 52420 10 52438 8 52939 10 52957 8 53458 12 53474 11 53977 12 53993 12 54496 15 54512 12 55015 29 55534 30 56053 30 56572 30 57091 30 57610 31 58129 32 58648 32 59167 32 59686 32 60205 32 60724 31 61243 32 61762 30 62281 30 62800 30 63319 30 63838 30 64357 30 64876 30 65395 30 65914 30 66433 32 66952 32 67471 32 67990 34 68509 34 69028 36 69547 36 70066 38 70585 39 71104 40 71623 41 72142 41 72661 42 73180 43 73699 44 74218 45 74737 46 75256 47 75775 48 75828 5 76294 60 76813 63 77332 63 77851 63 78370 65 78889 65 79408 65 79927 65 80446 65 80967 63 81484 65 82005 65 82524 65 83045 63 83564 63 84085 61 84604 61 85123 61 85642 59 86163 57 86682 57 87201 57 87722 55 88241 55 88760 55 89281 51 89800 53 90319 51 90840 51 91359 49 91878 51 92397 51 92918 51 93437 51 93956 51 94477 51 94996 51 95515 53 96034 53 96554 54 97074 53 97593 55 98112 55 98631 57 99151 56 99671 55 100190 55 100709 57 101228 57 101747 58 102267 59 102787 59 103306 59 103826 59 104346 59 104866 58 105386 58 105906 58 106427 56 106948 55 107469 54 107989 54 108509 54 109031 52 109552 51 110072 51 110591 52 111111 52 111632 53 112152 52 112671 54 113191 53 113711 54 114231 53 114751 54 115270 54 115790 53 116310 54 116829 54 117349 53 117869 54 118388 54 118908 53 119428 52 119947 54 120467 54 120987 53 121506 54 122027 53 122546 53 123065 54 123584 55 124105 54 124624 55 125145 54 125664 55 126185 55 126252 6 126706 55 126769 10 127225 55 127286 14 127744 75 128265 73 128784 75 129303 75 129822 75 130343 73 130862 73
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,118852 2 119371 2 119890 4 120409 6 120928 6 121447 6 121966 6 122485 6 123004 6 123523 8 124042 8 124561 8 125080 8 125599 8 126118 8 126637 8 127156 6 127675 6 128194 6 128713 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24936 7 25453 11 25970 15 26487 17 27005 20 27523 21 28041 22 28559 23 29077 24 29596 24 30115 24 30633 25 31151 26 31670 26 32189 25 32708 24 33227 24 33746 23 34265 22 34784 21 35305 18 35824 17 36343 16 36862 15 37383 10 37902 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,118885 1 119402 5 119919 7 120437 10 120956 11 121475 12 121994 13 122513 13 123032 13 123551 13 124070 14 124589 15 125108 15 125627 13 126146 13 126665 13 127184 13 127703 13 128224 11 128743 11 129262 11 129783 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,6797 6 7315 9 7833 12 8351 13 8869 14 9388 16 9907 16 10425 17 10943 20 11462 20 11981 20 12500 20 13019 22 13538 22 14057 21 14576 20 15095 21 15614 20 16133 20 16652 20 17171 19 17690 18 18209 18 18728 18 19247 17 19766 16 20285 16 20806 13 21325 12 21844 12 22364 10 22885 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,28607 9 29124 13 29641 18 30158 20 30677 20 31194 24 31713 22 32232 24 32749 24 33268 24 33787 24 34306 24 34825 22 35344 22 35863 20 36380 22 36899 20 37418 20 37937 18 38456 18 38975 16 39494 16 40015 14 40534 12 41055 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,46784 12 47303 14 47820 18 48339 20 48856 22 49375 22 49894 22 50411 24 50930 24 51449 24 51968 24 52487 22 53006 22 53527 20 54046 18 54567 14 55090 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,9418 4 9935 8 10454 8 10971 12 11490 12 12009 14 12528 14 13047 14 13566 14 14085 14 14606 12 15125 13 15644 14 16164 13 16684 12 17203 12 17722 12 18241 12 18760 13 19280 13 19800 12 20319 12 20838 12 21357 12 21877 11 22397 10 22916 9 23436 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,63926 10 64444 12 64962 14 65480 16 65999 16 66518 17 67036 19 67554 20 68073 20 68592 20 69111 20 69630 20 70149 22 70668 22 71187 22 71706 21 72225 22 72744 21 73263 20 73782 20 74301 20 74820 20 75341 18 75860 18 76379 18 76898 17 77417 16 77938 14 78457 14 78976 13 79497 10 80016 9 80537 4
